strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry.td,diff_oi,diff_oi_d,pct
320,6,6,821.28,821.28,2023-07-21,2023-08-11,0,0,0
320,6,55,821.28,7547.65,2023-07-21,2023-08-18,49,6726.37,0.891187323206561
320,6,5,821.28,647.75,2023-07-21,2023-08-25,-1,-173.53,-0.267896565032806
320,55,28,7547.65,3554.04,2023-07-21,2023-07-28,-27,-3993.61,-1.12368178185952
320,55,5,7547.65,647.95,2023-07-21,2023-08-04,-50,-6899.7,-10.6485068292307
320,55,6,7547.65,821.28,2023-07-21,2023-08-11,-49,-6726.37,-8.19010568868108
320,55,55,7547.65,7547.65,2023-07-21,2023-08-18,0,0,0
320,55,5,7547.65,647.75,2023-07-21,2023-08-25,-50,-6899.9,-10.6521034349672
320,5,28,647.75,3554.04,2023-07-21,2023-07-28,23,2906.29,0.817742625294032
320,5,5,647.75,647.95,2023-07-21,2023-08-04,0,0.200000000000045,0.000308665792113659
320,5,6,647.75,821.28,2023-07-21,2023-08-11,1,173.53,0.211292129359049
320,5,55,647.75,7547.65,2023-07-21,2023-08-18,50,6899.9,0.914178585387505
320,5,5,647.75,647.75,2023-07-21,2023-08-25,0,0,0
325,170,170,22358.4,22358.4,2023-07-21,2023-07-28,0,0,0
325,170,127,22358.4,15674.34,2023-07-21,2023-08-04,-43,-6684.06,-0.426433266089673
325,170,1,22358.4,116.77,2023-07-21,2023-08-11,-169,-22241.63,-190.473837458251
325,170,42,22358.4,5412.96,2023-07-21,2023-08-18,-128,-16945.44,-3.13053116963732
325,170,1,22358.4,127.76,2023-07-21,2023-08-25,-169,-22230.64,-174.003130870382
325,127,170,15674.34,22358.4,2023-07-21,2023-07-28,43,6684.06,0.298950729927007
325,127,127,15674.34,15674.34,2023-07-21,2023-08-04,0,0,0
325,127,1,15674.34,116.77,2023-07-21,2023-08-11,-126,-15557.57,-133.232593988182
325,127,42,15674.34,5412.96,2023-07-21,2023-08-18,-85,-10261.38,-1.89570586148798
325,127,1,15674.34,127.76,2023-07-21,2023-08-25,-126,-15546.58,-121.68581715717
325,1,170,116.77,22358.4,2023-07-21,2023-07-28,169,22241.63,0.994777354372406
325,1,127,116.77,15674.34,2023-07-21,2023-08-04,126,15557.57,0.992550244539802
325,1,1,116.77,116.77,2023-07-21,2023-08-11,0,0,0
325,1,42,116.77,5412.96,2023-07-21,2023-08-18,41,5296.19,0.978427699447252
325,1,1,116.77,127.76,2023-07-21,2023-08-25,0,10.99,0.086020663744521
325,41,170,5181.99,22358.4,2023-07-21,2023-07-28,129,17176.41,0.768230732073852
325,41,127,5181.99,15674.34,2023-07-21,2023-08-04,86,10492.35,0.669396606172892
325,41,1,5181.99,116.77,2023-07-21,2023-08-11,-40,-5065.22,-43.3777511347093
325,41,42,5181.99,5412.96,2023-07-21,2023-08-18,1,230.97,0.0426698146670214
325,41,1,5181.99,127.76,2023-07-21,2023-08-25,-40,-5054.23,-39.5603475266124
325,1,170,127.76,22358.4,2023-07-21,2023-07-28,169,22230.64,0.994285816516388
325,1,127,127.76,15674.34,2023-07-21,2023-08-04,126,15546.58,0.991849098590435
325,1,1,127.76,116.77,2023-07-21,2023-08-11,0,-10.99,-0.0941166395478291
325,1,42,127.76,5412.96,2023-07-21,2023-08-18,41,5285.2,0.976397387011912
325,1,1,127.76,127.76,2023-07-21,2023-08-25,0,0,0
330,12,12,1462.68,1462.68,2023-07-21,2023-07-28,0,0,0
330,12,209,1462.68,24599.3,2023-07-21,2023-08-04,197,23136.62,0.940539771456911
330,12,1,1462.68,120.97,2023-07-21,2023-08-11,-11,-1341.71,-11.0912622964371
330,12,187,1462.68,23176.78,2023-07-21,2023-08-18,175,21714.1,0.93689028415509
330,12,13,1462.68,1596.53,2023-07-21,2023-08-25,1,133.85,0.0838380738226027
330,209,12,24599.3,1462.68,2023-07-21,2023-07-28,-197,-23136.62,-15.8179642847376
330,209,209,24599.3,24599.3,2023-07-21,2023-08-04,0,0,0
330,209,1,24599.3,120.97,2023-07-21,2023-08-11,-208,-24478.33,-202.350417458874
330,209,187,24599.3,23176.78,2023-07-21,2023-08-18,-22,-1422.52,-0.0613769470996403
330,209,13,24599.3,1596.53,2023-07-21,2023-08-25,-196,-23002.77,-14.4079785534879
330,1,12,120.97,1462.68,2023-07-21,2023-07-28,11,1341.71,0.917295649082506
330,1,209,120.97,24599.3,2023-07-21,2023-08-04,208,24478.33,0.995082380392938
330,1,1,120.97,120.97,2023-07-21,2023-08-11,0,0,0
330,1,187,120.97,23176.78,2023-07-21,2023-08-18,186,23055.81,0.994780551914459
330,1,13,120.97,1596.53,2023-07-21,2023-08-25,12,1475.56,0.924229422560177
330,186,12,23227.68,1462.68,2023-07-21,2023-07-28,-174,-21765,-14.8802198703749
330,186,209,23227.68,24599.3,2023-07-21,2023-08-04,23,1371.62,0.0557584971930095
330,186,1,23227.68,120.97,2023-07-21,2023-08-11,-185,-23106.71,-191.011903777796
330,186,187,23227.68,23176.78,2023-07-21,2023-08-18,1,-50.9000000000015,-0.00219616357405996
330,186,13,23227.68,1596.53,2023-07-21,2023-08-25,-173,-21631.15,-13.5488528245633
330,13,12,1596.53,1462.68,2023-07-21,2023-07-28,-1,-133.85,-0.0915101047392457
330,13,209,1596.53,24599.3,2023-07-21,2023-08-04,196,23002.77,0.935098559715114
330,13,1,1596.53,120.97,2023-07-21,2023-08-11,-12,-1475.56,-12.1977349756138
330,13,187,1596.53,23176.78,2023-07-21,2023-08-18,174,21580.25,0.931115107448058
330,13,13,1596.53,1596.53,2023-07-21,2023-08-25,0,0,0
335,58,58,6547.62,6547.62,2023-07-21,2023-07-28,0,0,0
335,58,38,6547.62,3880.18,2023-07-21,2023-08-04,-20,-2667.44,-0.687452643949508
335,58,1,6547.62,113.13,2023-07-21,2023-08-11,-57,-6434.49,-56.8769557146646
335,58,49,6547.62,5870.2,2023-07-21,2023-08-18,-9,-677.42,-0.115399816019897
335,58,10,6547.62,1168.3,2023-07-21,2023-08-25,-48,-5379.32,-4.60439955490884
335,38,58,3880.18,6547.62,2023-07-21,2023-07-28,20,2667.44,0.407390777106796
335,38,38,3880.18,3880.18,2023-07-21,2023-08-04,0,0,0
335,38,1,3880.18,113.13,2023-07-21,2023-08-11,-37,-3767.05,-33.2984177494917
335,38,49,3880.18,5870.2,2023-07-21,2023-08-18,11,1990.02,0.339003781813226
335,38,10,3880.18,1168.3,2023-07-21,2023-08-25,-28,-2711.88,-2.32121886501755
335,1,58,113.13,6547.62,2023-07-21,2023-07-28,57,6434.49,0.982721966149532
335,1,38,113.13,3880.18,2023-07-21,2023-08-04,37,3767.05,0.970844136096779
335,1,1,113.13,113.13,2023-07-21,2023-08-11,0,0,0
335,1,49,113.13,5870.2,2023-07-21,2023-08-18,48,5757.07,0.980728084222003
335,1,10,113.13,1168.3,2023-07-21,2023-08-25,9,1055.17,0.903166994778738
335,49,58,5870.2,6547.62,2023-07-21,2023-07-28,9,677.42,0.10346049404211
335,49,38,5870.2,3880.18,2023-07-21,2023-08-04,-11,-1990.02,-0.512867959733827
335,49,1,5870.2,113.13,2023-07-21,2023-08-11,-48,-5757.07,-50.888977282772
335,49,49,5870.2,5870.2,2023-07-21,2023-08-18,0,0,0
335,49,10,5870.2,1168.3,2023-07-21,2023-08-25,-39,-4701.9,-4.02456560814859
335,10,58,1168.3,6547.62,2023-07-21,2023-07-28,48,5379.32,0.821568753226363
335,10,38,1168.3,3880.18,2023-07-21,2023-08-04,28,2711.88,0.69890572086862
335,10,1,1168.3,113.13,2023-07-21,2023-08-11,-9,-1055.17,-9.32705736763016
335,10,49,1168.3,5870.2,2023-07-21,2023-08-18,39,4701.9,0.800977820176485
335,10,10,1168.3,1168.3,2023-07-21,2023-08-25,0,0,0
340,14,14,1593.06,1593.06,2023-07-21,2023-07-28,0,0,0
340,14,394,1593.06,43588.22,2023-07-21,2023-08-04,380,41995.16,0.963452051953487
340,14,9,1593.06,979.83,2023-07-21,2023-08-11,-5,-613.23,-0.625853464376474
340,14,79,1593.06,8866.96,2023-07-21,2023-08-18,65,7273.9,0.820337522668423
340,14,10,1593.06,1144.3,2023-07-21,2023-08-25,-4,-448.76,-0.392169885519532
340,394,14,43588.22,1593.06,2023-07-21,2023-07-28,-380,-41995.16,-26.3613172134132
340,394,394,43588.22,43588.22,2023-07-21,2023-08-04,0,0,0
340,394,9,43588.22,979.83,2023-07-21,2023-08-11,-385,-42608.39,-43.4854923813315
340,394,79,43588.22,8866.96,2023-07-21,2023-08-18,-315,-34721.26,-3.91580203361693
340,394,10,43588.22,1144.3,2023-07-21,2023-08-25,-384,-42443.92,-37.091601852661
340,9,14,979.83,1593.06,2023-07-21,2023-07-28,5,613.23,0.384938420398478
340,9,394,979.83,43588.22,2023-07-21,2023-08-04,385,42608.39,0.977520761343317
340,9,9,979.83,979.83,2023-07-21,2023-08-11,0,0,0
340,9,79,979.83,8866.96,2023-07-21,2023-08-18,70,7887.13,0.889496512897318
340,9,10,979.83,1144.3,2023-07-21,2023-08-25,1,164.47,0.143729791138688
340,79,14,8866.96,1593.06,2023-07-21,2023-07-28,-65,-7273.9,-4.56599249243594
340,79,394,8866.96,43588.22,2023-07-21,2023-08-04,315,34721.26,0.796574395559167
