Watch,strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry,stkClose,diff_oi,diff_oi_d,totalOI,totalOIdiff,OI_pct,cum_sep_OI,pct
442.98,439,15326,15115,8459952,6015770,2023-08-08,2023-09-15,450.71,-211,-2444182,560989430,-200543013,1.07234997279717,77.5399192458938,-0.406295785909368
425.06,420,11120,11235,6783200,5684910,2023-08-08,2023-11-17,450.71,115,-1098290,188201271,-23914286,3.02065441417768,56.3779279684036,-0.193193911601063
452.76,447,9199,9789,7129225,5638464,2023-08-08,2023-09-15,450.71,590,-1490761,560989430,-200543013,1.00509273410018,78.545011979994,-0.264391330688641
501.28,475,2131,2145,6158590,5637060,2023-08-08,2023-12-15,450.71,14,-521529.999999998,454663704,-61357874,1.23983065954172,63.3309350332482,-0.0925180856687703
398.81,395,14504,14499,6570312,5524119,2023-08-08,2023-12-15,450.71,-5,-1046193,454663704,-61357874,1.21499010178301,64.5459251350312,-0.189386398084473
465.35,455,5254,5276,6788168,5460660,2023-08-08,2023-09-29,450.71,22,-1327508,223880463,-64587149,2.43909626004302,61.8648823323186,-0.24310394714192
448.05,446,23692,25999,9382032,5329795,2023-08-08,2023-08-18,450.71,2307,-4052237,231441865,-174474179,2.30286555978107,69.5797663918756,-0.760298848267147
477.62,462,3402,3396,6058962,5304552,2023-08-08,2023-10-20,450.71,-6,-754410,374395104,-66220249,1.41683263037542,85.4270607662647,-0.142219361785877
423.83,422,29045,28968,7755015,5301144,2023-08-08,2023-09-15,450.71,-77,-2453871,560989430,-200543013,0.944963258933417,79.4899752389274,-0.462894612936377
422.77,421,29890,29910,7711620,5294070,2023-08-08,2023-09-15,450.71,20,-2417550,560989430,-200543013,0.943702272607881,80.4336775115353,-0.456652443205322
460.14,448,4318,4344,6192012,5273616,2023-08-08,2023-12-15,450.71,26,-918396,454663704,-61357874,1.1598937750263,65.7058189100575,-0.174149198576461
448.14,447,41213,46037,12817243,5248218,2023-08-08,2023-08-11,450.71,4824,-7569025,45078510,-43521464,11.6423945689421,11.6423945689421,-1.44220857441516
473.35,462,4580,4583,7025720,5201705,2023-08-08,2023-08-25,450.71,3,-1824015,80658815,-28423940,6.4490223418234,14.1588901349468,-0.350657140303035
435.93,433,17841,17628,7386174,5165004,2023-08-08,2023-09-15,450.71,-213,-2221170,560989430,-200543013,0.920695422015349,81.3543729335506,-0.430042261341908
367.39,365,21491,21491,5630642,5136349,2023-08-08,2023-12-15,450.71,0,-494293,454663704,-61357874,1.12970288914903,66.8355217992066,-0.0962343096234309
448.88,444,10371,10372,7114506,5061536,2023-08-08,2023-09-15,450.71,1,-2052970,560989430,-200543013,0.902251580747252,82.2566245142979,-0.405602172937227
458.5,453,8444,9071,7287172,4989050,2023-08-08,2023-08-25,450.71,627,-2298122,80658815,-28423940,6.18537477893768,20.3442649138845,-0.460633186678827
382.96,380,16641,16668,5741145,4933728,2023-08-08,2023-12-15,450.71,27,-807417,454663704,-61357874,1.08513786268719,67.9206596618938,-0.163652515906836
390.44,390,111378,111450,6014412,4903800,2023-08-08,2023-09-08,450.71,72,-1110612,36383470,-8284567,13.4780987080122,13.4780987080122,-0.226479872751744
441.68,438,12820,13266,6692040,4881888,2023-08-08,2023-09-15,450.71,446,-1810152,560989430,-200543013,0.870228160983354,83.1268526752812,-0.370789333962598
458.84,447,3959,4102,5483215,4856768,2023-08-08,2023-12-15,450.71,143,-626447,454663704,-61357874,1.06821106617299,68.9888707280668,-0.128984336908825
439.19,432,6729,6730,5349555,4838870,2023-08-08,2023-11-17,450.71,1,-510685,188201271,-23914286,2.57111441080544,58.949042379209,-0.105538069838619
463.74,457,7095,7062,7144665,4759788,2023-08-08,2023-08-11,450.71,-33,-2384877,45078510,-43521464,10.5588849320885,22.2012795010305,-0.501046895365928
446.45,442,10048,10470,6179520,4659150,2023-08-08,2023-09-15,450.71,422,-1520370,560989430,-200543013,0.830523669581439,83.9573763448627,-0.326319178390908
463.87,457,6714,6718,7036272,4615266,2023-08-08,2023-08-18,450.71,4,-2421006,231441865,-174474179,1.99413619484962,71.5739025867252,-0.52456478131488
442.65,440,16814,17406,6809670,4612590,2023-08-08,2023-09-01,450.71,592,-2197080,82091235,-31949315,5.61885809124446,14.446655602148,-0.476322413221206
475.4,463,3704,3704,4870760,4592960,2023-08-08,2023-08-25,450.71,0,-277800,80658815,-28423940,5.69430631977422,26.0385712336587,-0.0604838709677419
433.69,431,17165,17054,6488370,4587526,2023-08-08,2023-09-15,450.71,-111,-1900844,560989430,-200543013,0.817756227599511,84.7751325724622,-0.414350567168448
388.09,385,14725,14812,5418800,4576908,2023-08-08,2023-12-15,450.71,87,-841892.000000001,454663704,-61357874,1.00665787916073,69.9955286072275,-0.183943395847153
385.3,385,151478,151539,6816510,4546170,2023-08-08,2023-09-01,450.71,61,-2270340,82091235,-31949315,5.53794811346181,19.9846037156098,-0.499396195038901
448.65,445,12161,12375,6627745,4516875,2023-08-08,2023-09-01,450.71,214,-2110870,82091235,-31949315,5.50226220862678,25.4868659242366,-0.467329735713297
376.17,375,30726,38206,4670352,4470102,2023-08-08,2023-10-20,450.71,7480,-200250,374395104,-66220249,1.19395311323302,86.6210138794977,-0.0447976354901969
370.42,370,104676,105076,6071208,4413192,2023-08-08,2023-09-15,450.71,400,-1658016,560989430,-200543013,0.786680062759828,85.561812635222,-0.375695415019333
443.15,438,8476,8543,5645016,4399645,2023-08-08,2023-09-29,450.71,67,-1245371,223880463,-64587149,1.96517594302099,63.8300582753396,-0.283061701569104
431.77,427,9207,9210,5275611,4393170,2023-08-08,2023-10-20,450.71,3,-882441,374395104,-66220249,1.17340476760081,87.7944186470986,-0.200866572429476
447.86,445,14796,15268,6880140,4366648,2023-08-08,2023-08-25,450.71,472,-2513492,80658815,-28423940,5.4137269435461,31.4522981772048,-0.575611315590357
467.51,453,2924,2918,4807056,4234018,2023-08-08,2023-12-15,450.71,-6,-573038.000000001,454663704,-61357874,0.931241698589602,70.9267703058171,-0.135341418010032
440.48,437,12055,12147,6027500,4227156,2023-08-08,2023-09-15,450.71,92,-1800344,560989430,-200543013,0.753517940614318,86.3153305758364,-0.425899588281104
380.5,380,63088,83872,4605424,4193600,2023-08-08,2023-09-15,450.71,20784,-411824,560989430,-200543013,0.747536366237774,87.0628669420741,-0.0982029759633727
451.54,441,3765,3973,4506705,4187542,2023-08-08,2023-12-15,450.71,208,-319163,454663704,-61357874,0.921019637846438,71.8477899436635,-0.07621726540295
405.74,405,55922,56168,5927732,4156432,2023-08-08,2023-09-08,450.71,246,-1771300,36383470,-8284567,11.4239570882052,24.9020557962174,-0.426158782340238
410.91,407,10574,10574,4419932,4134434,2023-08-08,2023-11-17,450.71,0,-285498,188201271,-23914286,2.19681513202958,61.1458575112386,-0.0690537084398976
390.64,390,64300,64379,6044200,4120256,2023-08-08,2023-09-15,450.71,79,-1923944,560989430,-200543013,0.734462323113646,87.7973292651878,-0.466947684804051
442.28,433,4421,4421,4345843,4102688,2023-08-08,2023-12-15,450.71,0,-243155.000000001,454663704,-61357874,0.902356613009953,72.7501465566735,-0.0592672413793105
405.98,405,41785,41585,6017040,4075330,2023-08-08,2023-09-15,450.71,-200,-1941710,560989430,-200543013,0.726453972581979,88.5237832377697,-0.476454667474781
468.43,454,2776,2818,4674784,4066374,2023-08-08,2023-12-15,450.71,42,-608410,454663704,-61357874,0.894369610818989,73.6445161674924,-0.149619784112332
445.23,441,9374,9612,5530660,4065876,2023-08-08,2023-09-15,450.71,238,-1464784,560989430,-200543013,0.724768735838748,89.2485519736085,-0.360262831429193
454.31,450,9460,9414,6290900,4057434,2023-08-08,2023-08-25,450.71,-46,-2233466,80658815,-28423940,5.03036648877125,36.4826646659761,-0.550462681586441
445.68,444,22665,24070,7479450,4043760,2023-08-08,2023-08-18,450.71,1405,-3435690,231441865,-174474179,1.747203341971,73.3211059286962,-0.849627574336756
406.66,405,24465,24271,5431230,4028986,2023-08-08,2023-09-29,450.71,-194,-1402244,223880463,-64587149,1.7996148239161,65.6296730992557,-0.348038935851353
484.65,465,2047,2048,4489071,4024320,2023-08-08,2023-12-15,450.71,1,-464751.000000001,454663704,-61357874,0.885120137058488,74.5296363045509,-0.115485597566794
417.15,415,18731,18622,5619300,4003730,2023-08-08,2023-09-29,450.71,-109,-1615570,223880463,-64587149,1.78833380382995,67.4180069030856,-0.403516221123802
462.16,453,4466,4285,5243084,3925060,2023-08-08,2023-09-29,450.71,-181,-1318024,223880463,-64587149,1.7531945161289,69.1712014192145,-0.33579715978864
418.51,417,25585,25615,5628700,3867865,2023-08-08,2023-09-15,450.71,30,-1760835,560989430,-200543013,0.689471992368912,89.9380239659774,-0.455247274659276
468.8,459,3922,3929,4706400,3850420,2023-08-08,2023-08-25,450.71,7,-855980,80658815,-28423940,4.77371258181762,41.2563772477937,-0.222308215727115
446.8,443,10044,10088,5484024,3833440,2023-08-08,2023-09-08,450.71,44,-1650584,36383470,-8284567,10.5362132858686,35.4382690820859,-0.430575149213239
