Watch,strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry,stkClose,diff_oi,diff_oi_d,totalOI,totalOIdiff,OI_pct,cum_sep_OI,pct
564.51,575,6249,6249,6555201,6555201,2025-12-26,2026-09-18,690.38,0,0,299497056,0,2.18873637275419,60.927959839445,0
647.27,655,8394,8394,6488562,6488562,2025-12-26,2026-03-20,690.38,0,0,429293910,0,1.51144981301971,76.9277060091535,0
663.6,675,5658,5658,6450120,6450120,2025-12-26,2026-03-20,690.38,0,0,429293910,0,1.50249510877059,78.4302011179241,0
595.32,610,4356,4356,6394608,6394608,2025-12-26,2026-09-18,690.38,0,0,299497056,0,2.13511547839722,63.0630753178422,0
594.82,615,3166,3166,6388988,6388988,2025-12-26,2026-12-18,690.38,0,0,641936461,0,0.995267972479289,76.9512119985346,0
473.64,480,10032,10032,6380352,6380352,2025-12-26,2026-12-18,690.38,0,0,641936461,0,0.993922667994395,77.9451346665289,0
659.08,665,10486,10486,6207712,6207712,2025-12-26,2026-02-20,690.38,0,0,208161343,0,2.982163695975,72.5880919206022,0
680.32,700,3147,3147,6193296,6193296,2025-12-26,2026-03-20,690.38,0,0,429293910,0,1.44267036073258,79.8728714786567,0
492.47,500,8210,8210,6182130,6182130,2025-12-26,2026-12-18,690.38,0,0,641936461,0,0.963043910976728,78.9081785775057,0
396.54,400,17817,17817,6164682,6164682,2025-12-26,2026-12-18,690.38,0,0,641936461,0,0.960325884963247,79.8685044624689,0
665.78,670,14537,14537,6134614,6134614,2025-12-26,2026-01-30,690.38,0,0,103571890,0,5.9230491980015,36.2876471598616,0
690.02,705,4090,4090,6126820,6126820,2025-12-26,2026-01-16,690.38,0,0,147053251,0,4.16639547805713,36.3003746173555,0
445.02,450,11874,11874,5913252,5913252,2025-12-26,2026-12-18,690.38,0,0,641936461,0,0.921158457145185,80.7896629196141,0
610.74,635,2436,2436,5909736,5909736,2025-12-26,2026-12-18,690.38,0,0,641936461,0,0.920610739385934,81.710273659,0
680.07,685,11925,11925,5879025,5879025,2025-12-26,2026-01-16,690.38,0,0,147053251,0,3.99788849278824,40.2982631101437,0
625.04,630,11692,11692,5799232,5799232,2025-12-26,2026-03-20,690.38,0,0,429293910,0,1.35087683866748,81.2237483173241,0
683.51,690,8907,8907,5780643,5780643,2025-12-26,2026-01-16,690.38,0,0,147053251,0,3.93098619764618,44.2292493077899,0
655.56,665,6076,6076,5735744,5735744,2025-12-26,2026-03-20,690.38,0,0,429293910,0,1.3360879030406,82.5598362203647,0
565.02,580,3724,3724,5578552,5578552,2025-12-26,2026-12-18,690.38,0,0,641936461,0,0.869019340529405,82.5792929995295,0
678,690,4607,4607,5528400,5528400,2025-12-26,2026-02-20,690.38,0,0,208161343,0,2.65582452549799,75.2439164461002,0
533.87,545,4921,4921,5477073,5477073,2025-12-26,2026-12-18,690.38,0,0,641936461,0,0.853211078159961,83.4325040776894,0
661.5,665,15271,15271,5344850,5344850,2025-12-26,2026-01-30,690.38,0,0,103571890,0,5.16052183657168,41.4481689964333,0
603.36,605,31356,31356,5142384,5142384,2025-12-26,2026-02-20,690.38,0,0,208161343,0,2.47038375420166,77.7143002003018,0
661.15,695,1519,1519,5141815,5141815,2025-12-26,2026-09-18,690.38,0,0,299497056,0,1.71681654192955,64.7798918597717,0
592.14,595,17958,17958,5135988,5135988,2025-12-26,2026-03-20,690.38,0,0,429293910,0,1.19638035396309,83.7562165743278,0
633.87,665,1628,1628,5067964,5067964,2025-12-26,2026-12-18,690.38,0,0,641936461,0,0.789480627429262,84.2219847051187,0
683.07,705,2266,2266,4969338,4969338,2025-12-26,2026-03-20,690.38,0,0,429293910,0,1.15756079558641,84.9137773699142,0
632.04,635,16249,16249,4809704,4809704,2025-12-26,2026-02-20,690.38,0,0,208161343,0,2.31056541559688,80.0248656158987,0
646.14,647,55150,55150,4742900,4742900,2025-12-26,2026-01-16,690.38,0,0,147053251,0,3.22529421671881,47.4545435245087,0
