Date.td,expiry,totalOI,totalOIdiff,totalOI_itm,totalOIdiff_itm,OI_diff_pct,ITM_pct,OI_ITM_diff_pct
2023-08-21,2023-09-22,$11.27M,$0.62M,$1.84M,$0.46M,6%,16%,25%
2023-08-21,2023-09-29,$198.17M,($7.70)M,$140.69M,($5.21)M,-4%,71%,-4%
2023-08-21,2023-10-20,$361.34M,($10.62)M,$263.36M,($4.73)M,-3%,73%,-2%
2023-08-21,2023-11-17,$128.24M,$14.22M,$56.77M,$6.05M,11%,44%,11%
2023-08-21,2023-12-15,$978.38M,($19.88)M,$758.95M,($14.72)M,-2%,78%,-2%
2023-08-22,2023-08-25,$74.61M,$18.44M,$62.30M,$13.93M,25%,84%,22%
2023-08-22,2023-09-01,$82.78M,$24.20M,$60.39M,$18.83M,29%,73%,31%
2023-08-22,2023-09-08,$129.70M,$22.27M,$102.37M,$16.96M,17%,79%,17%
2023-08-22,2023-09-15,"$1,338.23M",$79.44M,"$1,193.60M",$55.80M,6%,89%,5%
2023-08-22,2023-09-22,$14.16M,$2.89M,$3.33M,$0.82M,20%,23%,25%
2023-08-22,2023-09-29,$217.02M,$18.84M,$155.78M,$9.67M,9%,72%,6%
2023-08-22,2023-10-20,$398.57M,$37.23M,$279.87M,$14.76M,9%,70%,5%
2023-08-22,2023-11-17,$149.45M,$21.21M,$73.63M,$5.82M,14%,49%,8%
2023-08-22,2023-12-15,"$1,017.65M",$39.27M,$786.98M,$19.75M,4%,77%,3%
2023-08-23,2023-08-25,$68.91M,($5.70)M,$57.35M,($2.12)M,-8%,83%,-4%
2023-08-23,2023-09-01,$78.30M,($4.48)M,$57.22M,($1.41)M,-6%,73%,-3%
2023-08-23,2023-09-08,$125.39M,($4.31)M,$100.61M,($0.30)M,-3%,80%,0%
2023-08-23,2023-09-15,"$1,287.24M",($50.99)M,"$1,149.60M",($31.83)M,-4%,89%,-3%
2023-08-23,2023-09-22,$13.93M,($0.23)M,$3.51M,$0.34M,-2%,25%,10%
2023-08-23,2023-09-29,$209.99M,($7.03)M,$150.30M,($1.73)M,-3%,72%,-1%
2023-08-23,2023-10-20,$391.56M,($7.01)M,$278.08M,($0.30)M,-2%,71%,0%
2023-08-23,2023-11-17,$157.02M,$7.57M,$72.46M,$2.12M,5%,46%,3%
2023-08-23,2023-12-15,"$1,000.19M",($17.46)M,$780.03M,($5.04)M,-2%,78%,-1%
2023-08-24,2023-08-25,$107.01M,$38.10M,$96.99M,$30.50M,36%,91%,31%
2023-08-24,2023-09-01,$108.69M,$30.39M,$93.40M,$22.02M,28%,86%,24%
2023-08-24,2023-09-08,$151.07M,$25.68M,$131.80M,$17.27M,17%,87%,13%
2023-08-24,2023-09-15,"$1,482.34M",$195.11M,"$1,370.78M",$152.50M,13%,92%,11%
2023-08-24,2023-09-22,$20.50M,$6.57M,$9.51M,$2.70M,32%,46%,28%
2023-08-24,2023-09-29,$249.07M,$39.08M,$193.01M,$21.08M,16%,78%,11%
2023-08-24,2023-10-20,$456.24M,$64.69M,$340.24M,$33.11M,14%,75%,10%
2023-08-24,2023-11-17,$188.96M,$31.94M,$110.36M,$13.13M,17%,58%,12%
2023-08-24,2023-12-15,"$1,091.49M",$91.29M,$867.51M,$48.03M,8%,80%,6%
2023-08-25,2023-08-25,$54.05M,($52.96)M,$45.01M,($21.14)M,-98%,83%,-47.0%
2023-08-25,2023-09-01,$72.56M,($36.13)M,$53.90M,($10.54)M,-50%,74%,-20.0%
2023-08-25,2023-09-08,$116.92M,($34.15)M,$95.56M,($12.54)M,-29%,82%,-13.0%
2023-08-25,2023-09-15,"$1,232.26M",($250.09)M,"$1,108.50M",($134.59)M,-20%,90%,-12.0%
2023-08-25,2023-09-22,$13.70M,($6.80)M,$2.78M,($0.18)M,-50%,20%,-7.0%
2023-08-25,2023-09-29,$198.10M,($50.97)M,$144.20M,($14.60)M,-26%,73%,-10.0%
2023-08-25,2023-10-20,$389.39M,($66.85)M,$275.26M,($21.10)M,-17%,71%,-8.0%
2023-08-25,2023-11-17,$160.05M,($28.91)M,$60.07M,($7.59)M,-18%,38%,-13.0%
2023-08-25,2023-12-15,"$1,010.66M",($80.83)M,$784.84M,($30.10)M,-8%,78%,-4.0%
