strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry.td,diff_oi,diff_oi_d,pct
305,195,195,3.9,3.9,2023-07-21,2023-08-04,0,0,0
305,195,19,3.9,0.38,2023-07-21,2023-08-11,-176,-3.52,-9.26315789473684
305,195,4278,3.9,128.34,2023-07-21,2023-08-18,4083,124.44,0.969611968209444
305,195,46,3.9,2.76,2023-07-21,2023-08-25,-149,-1.14,-0.41304347826087
305,19,492,0.38,4.92,2023-07-21,2023-07-28,473,4.54,0.922764227642276
305,19,195,0.38,3.9,2023-07-21,2023-08-04,176,3.52,0.902564102564103
305,19,19,0.38,0.38,2023-07-21,2023-08-11,0,0,0
305,19,4278,0.38,128.34,2023-07-21,2023-08-18,4259,127.96,0.997039114851177
305,19,46,0.38,2.76,2023-07-21,2023-08-25,27,2.38,0.86231884057971
305,4278,492,128.34,4.92,2023-07-21,2023-07-28,-3786,-123.42,-25.0853658536585
305,4278,195,128.34,3.9,2023-07-21,2023-08-04,-4083,-124.44,-31.9076923076923
305,4278,19,128.34,0.38,2023-07-21,2023-08-11,-4259,-127.96,-336.736842105263
305,4278,4278,128.34,128.34,2023-07-21,2023-08-18,0,0,0
305,4278,46,128.34,2.76,2023-07-21,2023-08-25,-4232,-125.58,-45.5
305,46,492,3.68,4.92,2023-07-21,2023-07-28,446,1.24,0.252032520325203
305,46,195,3.68,3.9,2023-07-21,2023-08-04,149,0.22,0.0564102564102564
305,46,19,3.68,0.38,2023-07-21,2023-08-11,-27,-3.3,-8.68421052631579
305,46,4278,3.68,128.34,2023-07-21,2023-08-18,4232,124.66,0.971326164874552
305,46,46,3.68,2.76,2023-07-21,2023-08-25,0,-0.92,-0.333333333333334
310,659,659,6.59,6.59,2023-07-21,2023-07-28,0,0,0
310,659,4953,6.59,99.06,2023-07-21,2023-08-04,4294,92.47,0.933474661821118
310,659,116,6.59,2.32,2023-07-21,2023-08-11,-543,-4.27,-1.84051724137931
310,659,15889,6.59,635.56,2023-07-21,2023-08-18,15230,628.97,0.98963119139027
310,659,436,6.59,61.04,2023-07-21,2023-08-25,-223,54.45,0.892038007863696
310,4953,659,99.06,6.59,2023-07-21,2023-07-28,-4294,-92.47,-14.0318664643399
310,4953,4953,99.06,99.06,2023-07-21,2023-08-04,0,0,0
310,4953,116,99.06,2.32,2023-07-21,2023-08-11,-4837,-96.74,-41.698275862069
310,4953,15889,99.06,635.56,2023-07-21,2023-08-18,10936,536.5,0.844137453584241
310,4953,436,99.06,61.04,2023-07-21,2023-08-25,-4517,-38.02,-0.622870249017038
310,116,659,2.32,6.59,2023-07-21,2023-07-28,543,4.27,0.647951441578149
310,116,4953,2.32,99.06,2023-07-21,2023-08-04,4837,96.74,0.976579850595599
310,116,116,2.32,2.32,2023-07-21,2023-08-11,0,0,0
310,116,15889,2.32,635.56,2023-07-21,2023-08-18,15773,633.24,0.996349675876392
310,116,436,2.32,61.04,2023-07-21,2023-08-25,320,58.72,0.961992136304063
310,16133,659,645.32,6.59,2023-07-21,2023-07-28,-15474,-638.73,-96.9241274658574
310,16133,4953,645.32,99.06,2023-07-21,2023-08-04,-11180,-546.26,-5.51443569553806
310,16133,116,645.32,2.32,2023-07-21,2023-08-11,-16017,-643,-277.155172413793
310,16133,15889,645.32,635.56,2023-07-21,2023-08-18,-244,-9.75999999999999,-0.0153565359682799
310,16133,436,645.32,61.04,2023-07-21,2023-08-25,-15697,-584.28,-9.57208387942333
310,436,659,61.04,6.59,2023-07-21,2023-07-28,223,-54.45,-8.26251896813354
310,436,4953,61.04,99.06,2023-07-21,2023-08-04,4517,38.02,0.383807793256612
310,436,116,61.04,2.32,2023-07-21,2023-08-11,-320,-58.72,-25.3103448275862
